code,type,name,i18n_names,status,legal_entity_id,company_code,location_id,display_order,parent_code,manager_user_id,manager_email,effective_date,end_date
ROOT036,OrgUnit,飞虫与鲜花,"{""en"":""Bugs & Blossoms""}",active,,,,0,,,,2025-01-01,
BU-RE,OrgUnit,房地产,"{""en"":""Real Estate""}",active,,,,10,ROOT036,,,2025-01-01,
BU-PM,OrgUnit,物业管理,"{""en"":""Property Management""}",active,,,,20,ROOT036,,,2025-01-01,
BU-IT,OrgUnit,互联网行业,"{""en"":""Internet""}",active,,,,30,ROOT036,,,2025-01-01,
RE-N,OrgUnit,华北大区,,active,,,,1,BU-RE,,,2025-01-01,
RE-N-DEV,OrgUnit,华北大区-开发管理部,,active,,,,101,RE-N,,,2025-01-01,
RE-N-FIN,OrgUnit,华北大区-财务管理部,,active,,,,102,RE-N,,,2025-01-01,
RE-N-OPS,OrgUnit,华北大区-工程运营部,,active,,,,103,RE-N,,,2025-01-01,
RE-N-C01,OrgUnit,华北大区-城市公司01,,active,,,,11,RE-N,,,2025-01-01,
RE-N-C01-P01,OrgUnit,华北大区-城市公司01-项目01,,active,,,,11,RE-N-C01,,,2025-01-01,
RE-N-C01-P02,OrgUnit,华北大区-城市公司01-项目02,,active,,,,12,RE-N-C01,,,2025-01-01,
RE-N-C02,OrgUnit,华北大区-城市公司02,,active,,,,12,RE-N,,,2025-01-01,
RE-N-C02-P01,OrgUnit,华北大区-城市公司02-项目01,,active,,,,11,RE-N-C02,,,2025-01-01,
RE-N-C02-P02,OrgUnit,华北大区-城市公司02-项目02,,active,,,,12,RE-N-C02,,,2025-01-01,
RE-N-C03,OrgUnit,华北大区-城市公司03,,active,,,,13,RE-N,,,2025-01-01,
RE-N-C03-P01,OrgUnit,华北大区-城市公司03-项目01,,active,,,,11,RE-N-C03,,,2025-01-01,
RE-N-C03-P02,OrgUnit,华北大区-城市公司03-项目02,,active,,,,12,RE-N-C03,,,2025-01-01,
RE-N-C04,OrgUnit,华北大区-城市公司04,,active,,,,14,RE-N,,,2025-01-01,
RE-N-C04-P01,OrgUnit,华北大区-城市公司04-项目01,,active,,,,11,RE-N-C04,,,2025-01-01,
RE-N-C04-P02,OrgUnit,华北大区-城市公司04-项目02,,active,,,,12,RE-N-C04,,,2025-01-01,
RE-N-C05,OrgUnit,华北大区-城市公司05,,active,,,,15,RE-N,,,2025-01-01,
RE-N-C05-P01,OrgUnit,华北大区-城市公司05-项目01,,active,,,,11,RE-N-C05,,,2025-01-01,
RE-N-C05-P02,OrgUnit,华北大区-城市公司05-项目02,,active,,,,12,RE-N-C05,,,2025-01-01,
RE-N-C06,OrgUnit,华北大区-城市公司06,,active,,,,16,RE-N,,,2025-01-01,
RE-N-C06-P01,OrgUnit,华北大区-城市公司06-项目01,,active,,,,11,RE-N-C06,,,2025-01-01,
RE-N-C06-P02,OrgUnit,华北大区-城市公司06-项目02,,active,,,,12,RE-N-C06,,,2025-01-01,
RE-E,OrgUnit,华东大区,,active,,,,2,BU-RE,,,2025-01-01,
RE-E-DEV,OrgUnit,华东大区-开发管理部,,active,,,,101,RE-E,,,2025-01-01,
RE-E-FIN,OrgUnit,华东大区-财务管理部,,active,,,,102,RE-E,,,2025-01-01,
RE-E-OPS,OrgUnit,华东大区-工程运营部,,active,,,,103,RE-E,,,2025-01-01,
RE-E-C01,OrgUnit,华东大区-城市公司01,,active,,,,11,RE-E,,,2025-01-01,
RE-E-C01-P01,OrgUnit,华东大区-城市公司01-项目01,,active,,,,11,RE-E-C01,,,2025-01-01,
RE-E-C01-P02,OrgUnit,华东大区-城市公司01-项目02,,active,,,,12,RE-E-C01,,,2025-01-01,
RE-E-C02,OrgUnit,华东大区-城市公司02,,active,,,,12,RE-E,,,2025-01-01,
RE-E-C02-P01,OrgUnit,华东大区-城市公司02-项目01,,active,,,,11,RE-E-C02,,,2025-01-01,
RE-E-C02-P02,OrgUnit,华东大区-城市公司02-项目02,,active,,,,12,RE-E-C02,,,2025-01-01,
RE-E-C03,OrgUnit,华东大区-城市公司03,,active,,,,13,RE-E,,,2025-01-01,
RE-E-C03-P01,OrgUnit,华东大区-城市公司03-项目01,,active,,,,11,RE-E-C03,,,2025-01-01,
RE-E-C03-P02,OrgUnit,华东大区-城市公司03-项目02,,active,,,,12,RE-E-C03,,,2025-01-01,
RE-E-C04,OrgUnit,华东大区-城市公司04,,active,,,,14,RE-E,,,2025-01-01,
RE-E-C04-P01,OrgUnit,华东大区-城市公司04-项目01,,active,,,,11,RE-E-C04,,,2025-01-01,
RE-E-C04-P02,OrgUnit,华东大区-城市公司04-项目02,,active,,,,12,RE-E-C04,,,2025-01-01,
RE-E-C05,OrgUnit,华东大区-城市公司05,,active,,,,15,RE-E,,,2025-01-01,
RE-E-C05-P01,OrgUnit,华东大区-城市公司05-项目01,,active,,,,11,RE-E-C05,,,2025-01-01,
RE-E-C05-P02,OrgUnit,华东大区-城市公司05-项目02,,active,,,,12,RE-E-C05,,,2025-01-01,
RE-E-C06,OrgUnit,华东大区-城市公司06,,active,,,,16,RE-E,,,2025-01-01,
RE-E-C06-P01,OrgUnit,华东大区-城市公司06-项目01,,active,,,,11,RE-E-C06,,,2025-01-01,
RE-E-C06-P02,OrgUnit,华东大区-城市公司06-项目02,,active,,,,12,RE-E-C06,,,2025-01-01,
RE-S,OrgUnit,华南大区,,active,,,,3,BU-RE,,,2025-01-01,
RE-S-DEV,OrgUnit,华南大区-开发管理部,,active,,,,101,RE-S,,,2025-01-01,
RE-S-FIN,OrgUnit,华南大区-财务管理部,,active,,,,102,RE-S,,,2025-01-01,
RE-S-OPS,OrgUnit,华南大区-工程运营部,,active,,,,103,RE-S,,,2025-01-01,
RE-S-C01,OrgUnit,华南大区-城市公司01,,active,,,,11,RE-S,,,2025-01-01,
RE-S-C01-P01,OrgUnit,华南大区-城市公司01-项目01,,active,,,,11,RE-S-C01,,,2025-01-01,
RE-S-C01-P02,OrgUnit,华南大区-城市公司01-项目02,,active,,,,12,RE-S-C01,,,2025-01-01,
RE-S-C02,OrgUnit,华南大区-城市公司02,,active,,,,12,RE-S,,,2025-01-01,
RE-S-C02-P01,OrgUnit,华南大区-城市公司02-项目01,,active,,,,11,RE-S-C02,,,2025-01-01,
RE-S-C02-P02,OrgUnit,华南大区-城市公司02-项目02,,active,,,,12,RE-S-C02,,,2025-01-01,
RE-S-C03,OrgUnit,华南大区-城市公司03,,active,,,,13,RE-S,,,2025-01-01,
RE-S-C03-P01,OrgUnit,华南大区-城市公司03-项目01,,active,,,,11,RE-S-C03,,,2025-01-01,
RE-S-C03-P02,OrgUnit,华南大区-城市公司03-项目02,,active,,,,12,RE-S-C03,,,2025-01-01,
RE-S-C04,OrgUnit,华南大区-城市公司04,,active,,,,14,RE-S,,,2025-01-01,
RE-S-C04-P01,OrgUnit,华南大区-城市公司04-项目01,,active,,,,11,RE-S-C04,,,2025-01-01,
RE-S-C04-P02,OrgUnit,华南大区-城市公司04-项目02,,active,,,,12,RE-S-C04,,,2025-01-01,
RE-S-C05,OrgUnit,华南大区-城市公司05,,active,,,,15,RE-S,,,2025-01-01,
RE-S-C05-P01,OrgUnit,华南大区-城市公司05-项目01,,active,,,,11,RE-S-C05,,,2025-01-01,
RE-S-C05-P02,OrgUnit,华南大区-城市公司05-项目02,,active,,,,12,RE-S-C05,,,2025-01-01,
RE-S-C06,OrgUnit,华南大区-城市公司06,,active,,,,16,RE-S,,,2025-01-01,
RE-S-C06-P01,OrgUnit,华南大区-城市公司06-项目01,,active,,,,11,RE-S-C06,,,2025-01-01,
RE-S-C06-P02,OrgUnit,华南大区-城市公司06-项目02,,active,,,,12,RE-S-C06,,,2025-01-01,
RE-W,OrgUnit,西部大区,,active,,,,4,BU-RE,,,2025-01-01,
RE-W-DEV,OrgUnit,西部大区-开发管理部,,active,,,,101,RE-W,,,2025-01-01,
RE-W-FIN,OrgUnit,西部大区-财务管理部,,active,,,,102,RE-W,,,2025-01-01,
RE-W-OPS,OrgUnit,西部大区-工程运营部,,active,,,,103,RE-W,,,2025-01-01,
RE-W-C01,OrgUnit,西部大区-城市公司01,,active,,,,11,RE-W,,,2025-01-01,
RE-W-C01-P01,OrgUnit,西部大区-城市公司01-项目01,,active,,,,11,RE-W-C01,,,2025-01-01,
RE-W-C01-P02,OrgUnit,西部大区-城市公司01-项目02,,active,,,,12,RE-W-C01,,,2025-01-01,
RE-W-C02,OrgUnit,西部大区-城市公司02,,active,,,,12,RE-W,,,2025-01-01,
RE-W-C02-P01,OrgUnit,西部大区-城市公司02-项目01,,active,,,,11,RE-W-C02,,,2025-01-01,
RE-W-C02-P02,OrgUnit,西部大区-城市公司02-项目02,,active,,,,12,RE-W-C02,,,2025-01-01,
RE-W-C03,OrgUnit,西部大区-城市公司03,,active,,,,13,RE-W,,,2025-01-01,
RE-W-C03-P01,OrgUnit,西部大区-城市公司03-项目01,,active,,,,11,RE-W-C03,,,2025-01-01,
RE-W-C03-P02,OrgUnit,西部大区-城市公司03-项目02,,active,,,,12,RE-W-C03,,,2025-01-01,
RE-W-C04,OrgUnit,西部大区-城市公司04,,active,,,,14,RE-W,,,2025-01-01,
RE-W-C04-P01,OrgUnit,西部大区-城市公司04-项目01,,active,,,,11,RE-W-C04,,,2025-01-01,
RE-W-C04-P02,OrgUnit,西部大区-城市公司04-项目02,,active,,,,12,RE-W-C04,,,2025-01-01,
RE-W-C05,OrgUnit,西部大区-城市公司05,,active,,,,15,RE-W,,,2025-01-01,
RE-W-C05-P01,OrgUnit,西部大区-城市公司05-项目01,,active,,,,11,RE-W-C05,,,2025-01-01,
RE-W-C05-P02,OrgUnit,西部大区-城市公司05-项目02,,active,,,,12,RE-W-C05,,,2025-01-01,
RE-W-C06,OrgUnit,西部大区-城市公司06,,active,,,,16,RE-W,,,2025-01-01,
RE-W-C06-P01,OrgUnit,西部大区-城市公司06-项目01,,active,,,,11,RE-W-C06,,,2025-01-01,
RE-W-C06-P02,OrgUnit,西部大区-城市公司06-项目02,,active,,,,12,RE-W-C06,,,2025-01-01,
RE-C,OrgUnit,华中大区,,active,,,,5,BU-RE,,,2025-01-01,
RE-C-DEV,OrgUnit,华中大区-开发管理部,,active,,,,101,RE-C,,,2025-01-01,
RE-C-FIN,OrgUnit,华中大区-财务管理部,,active,,,,102,RE-C,,,2025-01-01,
RE-C-OPS,OrgUnit,华中大区-工程运营部,,active,,,,103,RE-C,,,2025-01-01,
RE-C-C01,OrgUnit,华中大区-城市公司01,,active,,,,11,RE-C,,,2025-01-01,
RE-C-C01-P01,OrgUnit,华中大区-城市公司01-项目01,,active,,,,11,RE-C-C01,,,2025-01-01,
RE-C-C01-P02,OrgUnit,华中大区-城市公司01-项目02,,active,,,,12,RE-C-C01,,,2025-01-01,
RE-C-C02,OrgUnit,华中大区-城市公司02,,active,,,,12,RE-C,,,2025-01-01,
RE-C-C02-P01,OrgUnit,华中大区-城市公司02-项目01,,active,,,,11,RE-C-C02,,,2025-01-01,
RE-C-C02-P02,OrgUnit,华中大区-城市公司02-项目02,,active,,,,12,RE-C-C02,,,2025-01-01,
RE-C-C03,OrgUnit,华中大区-城市公司03,,active,,,,13,RE-C,,,2025-01-01,
RE-C-C03-P01,OrgUnit,华中大区-城市公司03-项目01,,active,,,,11,RE-C-C03,,,2025-01-01,
RE-C-C03-P02,OrgUnit,华中大区-城市公司03-项目02,,active,,,,12,RE-C-C03,,,2025-01-01,
RE-C-C04,OrgUnit,华中大区-城市公司04,,active,,,,14,RE-C,,,2025-01-01,
RE-C-C04-P01,OrgUnit,华中大区-城市公司04-项目01,,active,,,,11,RE-C-C04,,,2025-01-01,
RE-C-C04-P02,OrgUnit,华中大区-城市公司04-项目02,,active,,,,12,RE-C-C04,,,2025-01-01,
RE-C-C05,OrgUnit,华中大区-城市公司05,,active,,,,15,RE-C,,,2025-01-01,
RE-C-C05-P01,OrgUnit,华中大区-城市公司05-项目01,,active,,,,11,RE-C-C05,,,2025-01-01,
RE-C-C05-P02,OrgUnit,华中大区-城市公司05-项目02,,active,,,,12,RE-C-C05,,,2025-01-01,
RE-C-C06,OrgUnit,华中大区-城市公司06,,active,,,,16,RE-C,,,2025-01-01,
RE-C-C06-P01,OrgUnit,华中大区-城市公司06-项目01,,active,,,,11,RE-C-C06,,,2025-01-01,
RE-C-C06-P02,OrgUnit,华中大区-城市公司06-项目02,,active,,,,12,RE-C-C06,,,2025-01-01,
PM-N,OrgUnit,北方大区,,active,,,,1,BU-PM,,,2025-01-01,
PM-N-QA,OrgUnit,北方大区-品质管理部,,active,,,,101,PM-N,,,2025-01-01,
PM-N-CS,OrgUnit,北方大区-客户服务部,,active,,,,102,PM-N,,,2025-01-01,
PM-N-S01,OrgUnit,北方大区-服务中心01,,active,,,,11,PM-N,,,2025-01-01,
PM-N-S01-T01,OrgUnit,北方大区-服务中心01-班组01,,active,,,,11,PM-N-S01,,,2025-01-01,
PM-N-S01-T02,OrgUnit,北方大区-服务中心01-班组02,,active,,,,12,PM-N-S01,,,2025-01-01,
PM-N-S02,OrgUnit,北方大区-服务中心02,,active,,,,12,PM-N,,,2025-01-01,
PM-N-S02-T01,OrgUnit,北方大区-服务中心02-班组01,,active,,,,11,PM-N-S02,,,2025-01-01,
PM-N-S02-T02,OrgUnit,北方大区-服务中心02-班组02,,active,,,,12,PM-N-S02,,,2025-01-01,
PM-N-S03,OrgUnit,北方大区-服务中心03,,active,,,,13,PM-N,,,2025-01-01,
PM-N-S03-T01,OrgUnit,北方大区-服务中心03-班组01,,active,,,,11,PM-N-S03,,,2025-01-01,
PM-N-S03-T02,OrgUnit,北方大区-服务中心03-班组02,,active,,,,12,PM-N-S03,,,2025-01-01,
PM-N-S04,OrgUnit,北方大区-服务中心04,,active,,,,14,PM-N,,,2025-01-01,
PM-N-S04-T01,OrgUnit,北方大区-服务中心04-班组01,,active,,,,11,PM-N-S04,,,2025-01-01,
PM-N-S04-T02,OrgUnit,北方大区-服务中心04-班组02,,active,,,,12,PM-N-S04,,,2025-01-01,
PM-N-S05,OrgUnit,北方大区-服务中心05,,active,,,,15,PM-N,,,2025-01-01,
PM-N-S05-T01,OrgUnit,北方大区-服务中心05-班组01,,active,,,,11,PM-N-S05,,,2025-01-01,
PM-N-S05-T02,OrgUnit,北方大区-服务中心05-班组02,,active,,,,12,PM-N-S05,,,2025-01-01,
PM-N-S06,OrgUnit,北方大区-服务中心06,,active,,,,16,PM-N,,,2025-01-01,
PM-N-S06-T01,OrgUnit,北方大区-服务中心06-班组01,,active,,,,11,PM-N-S06,,,2025-01-01,
PM-N-S06-T02,OrgUnit,北方大区-服务中心06-班组02,,active,,,,12,PM-N-S06,,,2025-01-01,
PM-E,OrgUnit,东部大区,,active,,,,2,BU-PM,,,2025-01-01,
PM-E-QA,OrgUnit,东部大区-品质管理部,,active,,,,101,PM-E,,,2025-01-01,
PM-E-CS,OrgUnit,东部大区-客户服务部,,active,,,,102,PM-E,,,2025-01-01,
